 |       | t#bar{t}Z+tWZ      | t#bar{t}W      | t#bar{t}H      | VV+LF      | VV+HF      | tZ      | t#bar{t}+Wt      | Other fakes      | Other      | FCNC (c)tZ      | FCNC t#bar{t}(cZ) |
 | bTagSF_eigenvars_B_1 | 0.00236199 / -0.00236203 | 0.00304025 / -0.00304031 | 0.0035959 / -0.00359599 | 0 / 0 | -0.000742709 / 0.000742706 | -0.00319953 / 0.00319946 | -0.0033451 / 0.00334503 | -0.00458704 / 0.0045869 | 0.00531064 / -0.00531083 | -0.00552226 / 0.00552205 | -0.00342265 / 0.00342257 |
 | bTagSF_eigenvars_B_2 | -0.00094988 / 0.000949874 | -0.0015548 / 0.00155478 | -0.00217949 / 0.00217946 | 0 / 0 | 0.000713901 / -0.000713905 | 0.00232158 / -0.00232162 | 0.00281248 / -0.00281253 | 0.00569505 / -0.00569527 | -0.00271551 / 0.00271546 | 0.00222934 / -0.00222937 | 0.00253716 / -0.0025372 |
 | bTagSF_eigenvars_B_3 | -0.000104581 / 0.000104581 | -0.000103182 / 0.000103182 | 6.88616e-06 / -6.88616e-06 | 0 / 0 | -0.000195033 / 0.000195032 | -0.000352615 / 0.000352614 | -0.000320061 / 0.000320061 | -0.00214399 / 0.00214396 | 2.11273e-05 / -2.11273e-05 | 0.000210085 / -0.000210086 | -3.27965e-06 / 3.27965e-06 |
 | bTagSF_eigenvars_B_4 | 3.52456e-05 / -3.52457e-05 | 1.7291e-05 / -1.7291e-05 | 5.34149e-05 / -5.34149e-05 | 0 / 0 | 4.73253e-06 / -4.73253e-06 | -7.06469e-05 / 7.06468e-05 | -0.000107088 / 0.000107088 | -1.36338e-05 / 1.36338e-05 | -2.19751e-05 / 2.19751e-05 | -7.97493e-05 / 7.97493e-05 | -3.50508e-05 / 3.50508e-05 |
 | bTagSF_eigenvars_B_5 | 1.12387e-05 / -1.12387e-05 | 5.51842e-06 / -5.51842e-06 | 2.67486e-06 / -2.67486e-06 | 0 / 0 | -2.17359e-06 / 2.17359e-06 | -2.74368e-06 / 2.74368e-06 | 5.5576e-06 / -5.5576e-06 | -5.17546e-05 / 5.17546e-05 | -3.53588e-07 / 3.53588e-07 | -1.88276e-05 / 1.88276e-05 | -5.16266e-05 / 5.16266e-05 |
 | bTagSF_eigenvars_B_6 | 9.95346e-07 / -9.95346e-07 | -7.54027e-07 / 7.54027e-07 | 1.00244e-07 / -1.00244e-07 | 0 / 0 | 1.82367e-06 / -1.82367e-06 | -3.57221e-06 / 3.57221e-06 | 1.43564e-06 / -1.43564e-06 | 2.97869e-05 / -2.97869e-05 | 2.25307e-06 / -2.25307e-06 | 6.40922e-07 / -6.40922e-07 | 7.654e-06 / -7.654e-06 |
 | bTagSF_eigenvars_B_7 | 5.04469e-08 / -5.04469e-08 | -5.13878e-08 / 5.13878e-08 | 5.86347e-08 / -5.86347e-08 | 0 / 0 | -2.00024e-07 / 2.00024e-07 | 2.52355e-07 / -2.52355e-07 | -1.70409e-07 / 1.70409e-07 | -2.88932e-06 / 2.88932e-06 | 3.89593e-07 / -3.89593e-07 | 1.27193e-07 / -1.27193e-07 | 6.76921e-07 / -6.76921e-07 |
 | bTagSF_eigenvars_B_8 | -1.61431e-08 / 1.61431e-08 | -1.63374e-08 / 1.63374e-08 | -2.32553e-09 / 2.32553e-09 | 0 / 0 | -1.00057e-08 / 1.00057e-08 | 1.33657e-08 / -1.33657e-08 | -7.90291e-10 / 7.90292e-10 | -6.51029e-08 / 6.51029e-08 | -2.02844e-08 / 2.02844e-08 | 5.88381e-08 / -5.88381e-08 | 5.61909e-08 / -5.61909e-08 |
 | bTagSF_eigenvars_C_0 | 0.000823069 / -0.00082307 | 0.000376142 / -0.000376142 | 0.00236339 / -0.00236339 | -0.00516649 / 0.00516645 | -0.033303 / 0.0332992 | 0.000399732 / -0.000399733 | 0.000141016 / -0.000141016 | 0.00547346 / -0.00547349 | -0.0047265 / 0.00472647 | 0.00164248 / -0.00164248 | 0.000978426 / -0.000978427 |
 | bTagSF_eigenvars_C_1 | 4.94655e-05 / -4.94656e-05 | 5.07565e-06 / -5.07565e-06 | 0.00012868 / -0.00012868 | 9.0508e-05 / -9.0508e-05 | -0.00437419 / 0.00437407 | -1.35125e-05 / 1.35125e-05 | 5.72598e-05 / -5.72598e-05 | -0.00025881 / 0.000258809 | -0.00101594 / 0.00101594 | -0.00015347 / 0.00015347 | 0.00048437 / -0.000484372 |
